,state,district,year,female_pct,age18_24_pct,age25_34_pct,median_age,unmarried_partner_pct,male_living_alone_pct,bachelors_deg_or_higher_pct,past_year_births_to_unmarried_women_pct,civilian_veteran_pct,live_same_house_past_year_pct,foreign_born_proportion_from_LatinAmerica,speak_other_language_at_home_pct,labor_force_unemployed_pct,public_transit_commuter_pct,no_health_insurance_pct,poverty_rate_pct,median_housing_value,median_household_income,food_stamp_benefits_pct,foreign_to_native_born_ratio
CA_09_2018,CA,9,2018,50.7,9.2,13.5,35.0,1.8,8.6,21.3,31.5,5.8,87.8,50.0,39.0,4.3,2.1,6.2,14.8,375600,65392,12.7,0.2861988770391043
CA_10_2018,CA,10,2018,50.0,9.7,14.2,34.6,2.1,8.7,17.9,31.0,4.9,86.4,59.5,41.7,4.3,0.9,5.2,12.9,323700,63223,11.6,0.27008795049705686
CA_11_2018,CA,11,2018,51.3,8.3,13.2,39.7,2.3,8.7,44.1,21.6,4.8,87.2,44.7,36.7,3.3,12.4,5.9,9.8,692200,90155,7.0,0.3567111603512622
CA_12_2018,CA,12,2018,48.9,6.6,24.3,38.2,3.4,19.1,59.6,9.7,2.9,84.8,17.5,42.0,2.6,34.8,3.6,10.2,1120600,111717,4.7,0.517881843081782
CA_13_2018,CA,13,2018,51.6,10.0,17.8,36.8,3.3,12.6,48.2,24.2,3.8,84.0,35.2,39.4,3.9,21.4,7.0,14.2,747900,76915,7.6,0.3904084374994333
CA_14_2018,CA,14,2018,50.9,8.0,15.6,39.4,1.7,9.9,48.9,23.8,3.6,87.9,26.4,50.7,2.6,16.0,4.1,6.4,996800,110507,2.9,0.6204400359912593
CA_15_2018,CA,15,2018,50.1,7.0,14.7,38.5,1.6,8.7,45.9,19.7,4.2,89.3,20.7,48.8,2.3,9.5,3.2,5.1,797600,116710,4.5,0.5442894361696898
CA_16_2018,CA,16,2018,50.2,11.1,15.8,30.8,2.6,9.8,12.1,60.5,4.5,85.2,75.5,52.2,6.5,2.2,8.8,26.7,215700,43839,24.4,0.3138514772520645
CA_17_2018,CA,17,2018,49.1,7.4,18.8,36.8,1.6,8.1,56.4,15.2,2.5,84.0,9.5,62.4,2.6,5.9,2.6,6.4,964500,124131,3.8,0.9570507614213198
CA_18_2018,CA,18,2018,49.5,7.9,14.2,39.8,1.7,11.3,64.5,8.1,3.9,85.0,20.8,37.7,2.5,4.4,3.9,5.8,1337300,134077,2.4,0.4498477395174514
