,state,district,year,female_pct,age18_24_pct,age25_34_pct,median_age,unmarried_partner_pct,male_living_alone_pct,bachelors_deg_or_higher_pct,past_year_births_to_unmarried_women_pct,civilian_veteran_pct,live_same_house_past_year_pct,foreign_born_proportion_from_LatinAmerica,speak_other_language_at_home_pct,labor_force_unemployed_pct,public_transit_commuter_pct,no_health_insurance_pct,poverty_rate_pct,median_housing_value,median_household_income,food_stamp_benefits_pct,foreign_to_native_born_ratio
FL_13_2016,FL,13,2016,52.0,6.9,12.8,46.5,3.3,15.6,27.8,48.4,10.6,83.1,34.8,14.8,3.5,2.0,11.5,14.4,181700,48519,12.5,0.13116109901670683
FL_14_2016,FL,14,2016,51.8,10.6,15.8,36.2,3.5,14.5,35.3,38.8,7.0,80.7,66.8,30.8,4.1,2.2,12.3,17.3,213500,51410,17.9,0.25501292554041144
FL_15_2016,FL,15,2016,50.4,8.3,14.1,38.4,2.6,10.5,25.8,29.1,8.9,84.6,65.8,22.0,3.2,0.6,11.6,13.4,163500,53784,13.2,0.12906625302314015
FL_16_2016,FL,16,2016,51.7,7.0,10.4,47.0,2.2,10.9,30.7,46.2,11.0,84.1,56.8,19.4,3.0,0.8,11.1,11.6,222800,55447,9.6,0.15661474678259868
FL_17_2016,FL,17,2016,50.5,6.5,9.4,51.3,2.1,11.9,21.3,40.9,12.3,86.2,63.2,15.6,3.4,0.7,12.1,14.4,158800,45508,10.6,0.1269746021452685
FL_18_2016,FL,18,2016,51.1,7.3,10.1,47.1,2.3,11.9,30.5,48.6,10.1,83.7,64.1,20.3,2.5,0.4,12.5,13.1,233800,54913,8.6,0.17944413967932457
FL_19_2016,FL,19,2016,51.4,6.6,10.2,50.2,2.3,11.4,32.3,47.7,9.4,85.5,66.5,22.7,2.9,0.4,11.9,12.4,254900,54812,8.6,0.20349969059266185
FL_20_2016,FL,20,2016,51.2,9.4,14.6,36.4,2.1,10.9,19.7,50.8,4.2,85.8,88.8,37.3,4.5,4.8,17.6,19.8,179800,43677,22.5,0.5397184943477974
FL_21_2016,FL,21,2016,52.2,7.2,11.7,45.4,2.3,11.2,34.3,44.6,7.2,84.7,74.6,34.5,3.8,1.9,11.9,11.1,252300,55864,9.1,0.3672907409544694
FL_22_2016,FL,22,2016,50.7,6.9,12.4,45.2,2.8,16.2,37.9,32.8,6.6,82.6,69.9,34.2,3.8,2.0,12.1,10.9,302100,60159,8.7,0.3691018217687151
FL_23_2016,FL,23,2016,52.1,8.0,13.2,41.6,2.1,11.1,38.6,31.9,4.4,84.5,71.8,47.1,3.3,1.5,9.9,10.7,292600,61513,8.9,0.556823517191233
FL_24_2016,FL,24,2016,51.3,9.6,15.6,37.1,2.1,14.8,19.4,41.6,2.7,87.3,92.6,57.2,5.2,9.3,21.0,23.6,191300,38441,29.8,0.7400904372371145
FL_25_2016,FL,25,2016,51.2,7.9,12.3,42.5,2.2,9.2,22.7,36.8,3.2,86.3,94.6,78.5,2.9,2.4,19.4,16.2,252800,46247,27.1,1.3940358214383126
FL_26_2016,FL,26,2016,51.5,9.4,13.8,38.4,2.0,7.6,27.2,42.5,3.3,87.9,94.4,70.9,3.4,3.2,16.3,16.9,273100,54453,25.0,0.9151690549143193
FL_27_2016,FL,27,2016,50.4,7.9,15.1,41.9,2.1,15.9,37.5,25.7,2.5,86.5,89.5,74.2,2.8,6.2,13.1,14.9,367600,51958,19.5,1.22103992555396
GA_01_2016,GA,1,2016,50.8,10.5,14.7,35.8,2.5,12.2,25.0,50.3,12.1,79.3,48.6,8.4,4.9,1.6,13.0,16.7,156900,50931,14.8,0.049469313073124015
GA_02_2016,GA,2,2016,51.3,10.3,13.9,36.1,1.9,14.6,17.6,54.1,9.5,82.4,53.8,6.0,4.8,0.7,14.1,26.6,103100,35617,23.4,0.03713509026897099
GA_03_2016,GA,3,2016,51.9,9.5,12.4,38.3,1.4,9.6,26.5,36.5,8.9,86.4,52.0,7.1,3.8,0.5,11.5,13.0,163500,56240,12.0,0.05614358030372756
GA_04_2016,GA,4,2016,53.1,8.7,14.8,35.3,2.0,12.1,29.8,45.8,8.2,83.0,49.6,18.6,4.7,4.8,14.4,17.8,155800,51686,17.2,0.19004176290062327
GA_05_2016,GA,5,2016,51.3,12.2,19.3,33.8,2.8,22.3,42.0,47.7,5.7,78.5,39.9,11.5,5.0,10.1,12.9,22.0,177600,48269,16.9,0.10033724827770894
GA_06_2016,GA,6,2016,50.9,7.4,13.3,38.4,2.0,10.9,60.6,16.4,5.8,83.1,32.6,26.5,2.6,3.6,10.0,8.5,356400,87139,5.4,0.27846125488087203
GA_07_2016,GA,7,2016,50.8,8.8,11.8,36.5,1.5,8.4,39.6,15.6,5.1,86.3,41.6,35.4,2.2,0.7,14.2,9.9,229500,72481,7.0,0.3377843492929693
GA_08_2016,GA,8,2016,51.1,10.1,13.3,36.7,1.9,11.9,21.8,49.5,9.9,84.7,62.1,6.8,3.3,0.2,14.2,20.8,121800,44360,17.9,0.0428777874380243
GA_09_2016,GA,9,2016,50.5,9.5,11.0,40.8,1.5,10.1,21.6,37.7,8.4,87.9,76.2,13.3,2.3,0.3,14.3,14.1,170900,50154,13.6,0.08277851492052098
GA_10_2016,GA,10,2016,51.2,13.3,11.5,36.3,1.9,10.1,26.7,50.9,7.5,83.3,45.1,8.8,3.5,0.8,10.8,16.7,164900,51532,13.4,0.06549023552572963
GA_11_2016,GA,11,2016,50.8,9.3,14.3,36.3,2.2,10.3,41.0,19.8,7.8,82.9,60.1,16.3,3.1,1.0,13.5,10.4,233000,69610,7.9,0.14028551007283238
GA_12_2016,GA,12,2016,50.6,11.0,14.4,35.7,1.8,12.1,20.9,40.8,11.0,83.1,44.3,6.9,4.0,0.9,12.5,21.2,115900,43933,18.2,0.0481835096393225
GA_13_2016,GA,13,2016,53.5,8.7,13.6,35.2,1.8,10.2,29.6,40.5,9.3,82.7,57.5,15.6,4.6,2.6,12.7,13.9,150900,57342,15.2,0.11883806776438696
GA_14_2016,GA,14,2016,50.7,8.9,12.2,38.1,1.5,9.6,18.1,32.2,7.9,87.5,74.8,11.3,3.4,0.3,13.1,14.9,132000,48691,14.8,0.07736768728277837
HI_01_2016,HI,1,2016,50.0,8.7,15.2,39.2,1.8,12.6,36.0,30.1,10.0,86.0,3.0,30.9,2.2,9.7,3.0,8.4,650600,78180,8.9,0.28780894155561265
HI_02_2016,HI,2,2016,49.4,9.5,13.6,38.5,2.0,10.7,27.8,35.7,9.3,86.7,7.1,22.2,3.3,3.6,4.1,10.2,526900,70867,14.9,0.16938773857627556
ID_01_2016,ID,1,2016,49.4,9.1,11.9,38.0,2.3,11.9,25.4,35.8,9.6,81.9,54.0,8.2,3.1,0.2,10.6,13.7,205200,52199,10.9,0.04287726542563712
ID_02_2016,ID,2,2016,50.6,9.8,14.4,34.0,1.9,12.3,30.1,22.8,8.1,82.8,60.5,13.6,2.7,1.0,9.6,15.1,172300,51294,10.8,0.08254021585141465
IL_01_2016,IL,1,2016,53.4,9.9,13.4,39.4,1.7,14.5,28.9,51.3,5.3,89.3,50.5,12.2,6.2,17.0,5.5,17.4,182300,50523,19.7,0.0811646684303682
IL_02_2016,IL,2,2016,53.2,10.7,11.6,38.0,1.8,13.2,23.3,63.7,6.6,87.8,70.5,14.2,8.1,13.9,6.9,19.1,124600,48417,23.5,0.08076722199934905
IL_03_2016,IL,3,2016,49.8,8.9,13.3,37.7,2.0,11.5,26.9,42.9,4.6,89.9,49.9,40.1,4.7,11.0,8.0,10.3,216800,66270,12.2,0.26564433872001264
IL_04_2016,IL,4,2016,49.3,9.6,17.9,33.2,2.7,11.9,24.5,36.8,2.3,89.0,82.9,68.9,4.5,19.6,15.7,16.5,231000,51383,18.3,0.5035615324215176
IL_05_2016,IL,5,2016,50.7,9.4,22.2,35.0,3.1,15.3,54.7,10.0,3.3,84.1,27.9,34.0,2.7,28.5,6.2,8.3,337200,80269,5.6,0.28275591793886024
IL_06_2016,IL,6,2016,51.1,8.3,11.8,40.5,1.6,10.1,52.2,10.5,5.1,89.2,20.7,19.8,2.7,6.6,4.7,4.7,316000,97387,4.8,0.17246903760936258
IL_07_2016,IL,7,2016,52.5,10.6,20.2,34.5,2.6,18.2,40.7,56.3,3.9,82.1,43.3,22.9,6.0,23.6,7.8,22.5,262300,54147,22.4,0.15993400948493408
IL_08_2016,IL,8,2016,49.6,7.9,14.4,37.3,2.1,12.2,32.6,23.9,4.4,87.0,43.7,43.5,3.5,3.4,8.5,11.4,216100,67745,10.9,0.39235376957724405
IL_09_2016,IL,9,2016,51.6,7.8,13.8,40.1,1.7,14.9,53.2,14.6,3.8,87.4,19.4,35.0,2.6,20.4,6.0,12.2,339400,67084,9.3,0.3389976255464572
IL_10_2016,IL,10,2016,50.5,9.7,12.1,38.2,1.7,10.3,44.1,35.0,5.0,87.6,41.1,35.7,3.5,4.5,8.0,9.0,262900,74971,9.0,0.32502577853026016
IL_11_2016,IL,11,2016,51.0,9.8,12.7,36.1,2.2,11.5,36.0,37.2,5.1,88.8,52.5,31.8,3.4,4.2,7.0,9.2,207900,72198,11.5,0.22540936167928458
IL_12_2016,IL,12,2016,50.5,8.7,13.3,39.4,2.6,13.7,24.0,48.4,10.4,85.7,35.8,5.2,4.0,2.1,5.7,16.4,109100,47430,17.8,0.028628704620804593
IL_13_2016,IL,13,2016,50.5,14.9,13.4,36.9,2.7,15.5,30.2,39.7,7.9,81.3,17.3,7.5,3.5,3.3,4.1,16.9,122600,49758,13.0,0.05293206210320751
IL_14_2016,IL,14,2016,50.0,8.6,10.4,38.9,1.9,7.6,42.1,20.4,5.8,87.9,40.3,15.1,3.4,2.7,4.1,6.7,254700,90345,7.2,0.11188501817918273
IL_15_2016,IL,15,2016,50.4,8.3,12.3,40.5,2.6,12.9,20.2,30.1,8.8,87.1,33.5,4.3,3.3,0.5,5.4,14.2,102600,49927,13.9,0.01697009112169544
IL_16_2016,IL,16,2016,50.1,9.4,11.3,41.0,2.9,12.2,22.2,39.5,7.8,84.9,53.0,8.6,4.1,0.4,4.4,12.4,135500,57182,12.7,0.051693644419510805
IL_17_2016,IL,17,2016,50.7,9.5,12.2,40.2,3.0,15.3,18.7,49.6,7.6,86.0,53.7,9.1,4.7,1.7,5.0,18.2,99300,45360,18.5,0.0474781854937701
IL_18_2016,IL,18,2016,50.7,8.8,11.6,40.6,2.2,12.4,31.7,29.3,9.0,88.8,22.0,4.7,3.2,0.4,3.3,9.6,146300,60857,9.2,0.04192517555236192
IN_01_2016,IN,1,2016,50.9,9.0,12.5,38.7,2.9,12.7,22.6,51.8,7.6,86.7,50.0,12.1,3.6,2.6,6.5,14.3,155500,56370,12.1,0.06019176903134153
IN_02_2016,IN,2,2016,50.8,9.6,12.1,38.0,2.5,12.2,20.8,33.0,7.0,86.8,56.5,11.5,3.9,0.9,11.0,14.5,122200,51292,10.6,0.06299328196936954
IN_03_2016,IN,3,2016,50.7,9.0,12.6,37.2,2.5,13.5,22.9,31.6,7.6,83.6,38.1,10.2,2.9,0.5,9.7,13.5,121000,51453,10.1,0.04738592839830723
IN_04_2016,IN,4,2016,49.8,12.6,12.4,36.6,2.9,12.6,26.0,29.2,7.6,81.2,44.7,8.3,3.1,1.1,7.2,12.8,140700,53996,9.7,0.06140890334867481
IN_05_2016,IN,5,2016,51.7,8.3,13.7,37.9,2.3,11.9,45.0,30.6,6.9,86.2,28.7,8.1,2.5,0.1,6.2,9.8,178400,67461,6.6,0.06643165936894989
IN_06_2016,IN,6,2016,50.4,10.4,11.6,40.1,2.7,11.6,20.7,36.9,8.3,85.4,37.0,3.8,2.8,0.4,8.6,14.7,121800,51033,11.6,0.028541742190911972
IN_07_2016,IN,7,2016,51.6,9.5,16.2,33.8,2.7,16.1,23.5,56.8,7.2,86.2,52.1,14.6,4.2,1.8,9.7,20.8,112700,41429,17.2,0.10794745920127372
IN_08_2016,IN,8,2016,50.0,9.6,12.5,39.4,3.1,12.3,21.3,36.9,8.2,85.2,26.1,4.2,2.6,0.9,7.6,13.8,116800,50261,10.7,0.025528512727069894
IN_09_2016,IN,9,2016,50.8,12.0,12.7,38.0,2.0,12.6,26.3,25.9,7.6,85.1,26.6,5.9,3.1,1.0,6.6,12.7,145500,55078,8.5,0.04176944444444444
IA_01_2016,IA,1,2016,50.3,10.4,12.1,38.8,2.8,13.2,27.1,26.7,7.9,85.6,33.0,6.1,2.6,0.5,4.2,11.2,144100,57402,10.0,0.04059773689211368
IA_02_2016,IA,2,2016,50.4,10.7,12.8,38.0,2.6,13.5,28.5,35.3,7.4,85.0,29.5,7.3,2.6,1.6,4.4,13.9,136600,52150,11.5,0.05041978278634364
IA_03_2016,IA,3,2016,50.6,8.5,13.9,36.9,2.9,12.6,33.1,30.2,7.4,82.8,33.8,9.3,3.0,1.1,4.2,9.4,164200,62323,11.9,0.06971817548122793
IA_04_2016,IA,4,2016,50.1,11.5,11.6,39.1,2.6,14.1,24.7,28.7,7.8,85.5,56.4,8.0,2.4,1.1,4.2,12.7,120700,53335,10.3,0.05405824876771859
KS_01_2016,KS,1,2016,49.4,12.6,12.7,35.4,2.4,14.2,23.9,27.1,7.9,81.5,71.1,14.5,2.9,0.4,9.5,13.0,111000,48156,7.2,0.08702954306803319
KS_02_2016,KS,2,2016,50.0,11.6,12.1,37.5,2.4,13.5,29.2,34.6,9.2,83.0,41.3,5.3,2.7,0.9,7.7,13.4,127500,51778,9.1,0.03175771013908486
KS_03_2016,KS,3,2016,50.9,8.0,13.7,36.8,2.1,11.1,47.4,22.0,6.4,84.1,49.1,15.5,2.9,0.4,8.2,8.5,218400,71562,5.6,0.1172499566318055
KS_04_2016,KS,4,2016,50.4,9.3,13.3,36.3,2.1,14.6,29.5,33.2,8.8,85.0,52.0,11.2,3.2,0.4,9.6,13.9,125800,52054,10.0,0.0695941635571633
KY_01_2016,KY,1,2016,50.5,9.8,11.7,40.2,2.0,13.3,15.7,35.9,8.2,86.6,44.5,3.5,3.1,0.3,6.8,20.0,104700,40253,14.3,0.01599859577004036
KY_02_2016,KY,2,2016,50.8,10.4,12.0,38.4,2.7,12.9,20.9,35.0,10.1,82.9,25.9,4.9,3.3,0.3,4.1,16.1,142000,49960,12.6,0.033865717568405874
KY_03_2016,KY,3,2016,51.7,8.7,15.0,38.2,2.8,15.3,30.9,41.6,8.1,82.5,32.6,9.1,3.8,2.7,4.4,14.7,160300,51070,11.4,0.07249465098974785
KY_04_2016,KY,4,2016,50.5,8.5,12.1,38.5,2.2,11.0,28.3,41.9,8.2,85.6,41.7,4.3,2.9,1.3,4.2,12.9,163400,60912,11.1,0.029327221505992457
KY_05_2016,KY,5,2016,50.4,8.5,11.9,41.0,2.0,13.0,12.4,29.3,6.5,89.0,38.9,1.7,4.2,0.3,5.4,29.3,81000,30585,27.6,0.008885114635766245
KY_06_2016,KY,6,2016,51.3,11.9,13.6,36.7,2.9,12.4,31.7,42.8,6.9,80.0,41.1,7.5,3.8,1.1,6.0,18.6,157300,50659,13.4,0.05828223403020066
LA_01_2016,LA,1,2016,51.5,8.7,13.6,38.4,2.2,13.0,30.3,39.5,6.7,87.0,61.0,11.2,3.4,0.2,9.9,13.8,199600,56938,11.1,0.06696387663794168
LA_02_2016,LA,2,2016,51.5,9.3,16.3,35.9,2.3,17.2,23.4,70.8,5.8,86.2,53.3,10.0,5.6,4.8,11.2,24.9,154600,36798,22.9,0.06996879443349946
LA_03_2016,LA,3,2016,51.3,9.4,14.2,36.0,2.8,13.5,21.0,50.6,5.9,86.0,46.7,10.3,4.5,0.6,10.8,20.5,143100,44668,15.3,0.028860193256832017
LA_04_2016,LA,4,2016,50.6,9.4,13.7,36.7,1.9,14.0,19.9,47.1,9.8,87.4,48.8,4.9,4.2,0.6,10.7,23.4,128900,39748,18.1,0.025104255133816773
LA_05_2016,LA,5,2016,50.0,10.0,12.9,37.4,2.2,12.9,16.8,45.0,7.3,86.8,50.7,4.1,3.6,0.8,10.5,24.8,112800,36718,20.8,0.016384536083874482
LA_06_2016,LA,6,2016,51.3,10.8,15.2,35.2,2.1,12.4,27.9,41.8,5.6,85.1,56.0,7.6,3.2,0.6,8.6,14.6,178800,59270,12.4,0.04601312565238631
ME_01_2016,ME,1,2016,51.3,8.1,12.1,44.3,3.1,12.1,36.9,24.8,9.0,87.2,9.2,6.5,2.0,1.0,6.4,10.2,238900,61173,11.3,0.048532412834874736
ME_02_2016,ME,2,2016,51.0,8.5,11.6,44.7,3.8,13.3,23.0,48.5,10.1,86.6,10.6,5.8,3.5,0.2,9.8,14.9,139100,46638,17.4,0.03062233916234039
MD_01_2016,MD,1,2016,50.7,9.3,11.1,42.5,2.3,10.4,30.6,37.9,8.9,87.9,40.6,7.4,3.4,1.1,4.5,10.2,275600,69254,11.1,0.058782211180696396
MD_02_2016,MD,2,2016,52.3,8.9,15.8,36.2,2.3,12.0,33.4,34.6,8.4,85.8,32.7,15.2,3.5,5.5,6.0,10.3,231600,69128,14.0,0.13652274685763527
MD_03_2016,MD,3,2016,51.5,9.7,15.3,38.2,2.1,11.1,47.2,29.6,7.5,84.4,32.2,20.7,3.2,6.3,5.3,8.8,327200,83620,8.8,0.19519336342564353
MD_04_2016,MD,4,2016,51.9,8.2,15.0,36.8,2.3,12.2,34.0,32.4,8.5,86.4,59.9,23.8,4.2,13.8,10.2,8.9,296300,79350,9.9,0.247473195552692
MD_05_2016,MD,5,2016,51.0,10.5,12.8,38.3,1.9,11.2,33.7,34.0,10.8,87.8,38.9,14.1,3.5,7.5,5.4,7.4,326200,95442,8.5,0.1250593028358616
MD_06_2016,MD,6,2016,50.7,9.0,12.9,38.9,1.9,10.0,41.5,26.0,7.0,85.6,36.3,27.3,3.3,7.0,6.2,9.6,296900,75774,11.3,0.26990422380397044
MD_07_2016,MD,7,2016,52.6,9.7,15.1,37.7,2.2,13.7,37.8,45.5,6.3,85.7,28.9,12.7,4.9,12.1,5.4,16.4,260000,61392,19.3,0.1339435464006163
MD_08_2016,MD,8,2016,51.3,7.6,12.6,40.4,1.8,10.1,55.6,20.5,6.5,87.7,39.3,29.7,3.2,14.3,5.9,6.2,444100,98991,5.5,0.32043494563179603
MA_01_2016,MA,1,2016,51.9,10.6,12.4,40.9,3.2,13.2,29.7,45.7,7.6,88.0,24.2,19.2,3.9,1.6,3.1,14.0,211300,55716,16.7,0.07522667964085099
MA_02_2016,MA,2,2016,51.2,12.6,12.2,39.0,2.8,14.4,38.4,30.7,6.5,85.8,26.8,17.5,3.5,2.2,2.2,10.5,271200,64868,12.0,0.1324572382144347
MA_03_2016,MA,3,2016,50.7,9.9,12.7,39.3,2.3,10.8,37.4,30.2,5.5,88.7,47.9,28.8,3.6,3.1,2.9,11.0,333700,77995,14.9,0.22333785225067784
MA_04_2016,MA,4,2016,50.9,9.4,11.1,41.4,2.0,10.4,51.0,11.1,5.9,88.9,19.1,18.8,2.7,7.7,1.8,6.2,397500,98530,7.6,0.1481351622453055
MA_05_2016,MA,5,2016,51.3,9.7,14.8,39.4,2.3,12.0,57.4,17.8,4.5,86.1,31.5,29.8,2.7,15.0,3.0,7.8,516700,92268,7.0,0.3178689534853443
MA_06_2016,MA,6,2016,51.2,8.5,11.7,42.8,1.9,11.1,44.0,17.6,6.0,89.8,40.3,17.0,3.0,6.1,2.0,7.2,422300,84913,9.0,0.1515164265138344
MA_07_2016,MA,7,2016,51.7,15.7,23.2,31.8,3.1,15.2,42.9,44.4,2.1,79.3,53.5,43.1,5.0,32.6,3.5,20.4,465200,60873,19.8,0.48849964276298946
MA_08_2016,MA,8,2016,52.3,8.4,16.5,39.3,2.2,11.9,46.8,30.6,5.6,86.0,27.7,23.9,3.9,16.3,2.0,9.1,413000,82333,9.8,0.22739457463446514
MA_09_2016,MA,9,2016,52.0,8.3,10.7,45.5,2.5,11.6,35.9,37.5,8.2,90.4,30.8,14.1,3.5,2.5,2.4,8.0,355100,68173,11.0,0.09791221295338863
MI_01_2016,MI,1,2016,49.3,8.6,10.4,46.4,3.0,14.9,24.6,44.6,10.2,86.5,17.2,3.4,3.2,0.5,5.9,14.7,138000,46927,12.0,0.02126699870958701
MI_02_2016,MI,2,2016,50.8,10.9,13.0,36.8,2.7,11.4,23.8,36.1,7.8,83.6,48.6,9.7,3.2,1.6,5.4,13.3,144700,52919,12.8,0.060926037663946137
MI_03_2016,MI,3,2016,50.1,9.1,14.0,37.2,2.1,12.3,31.4,30.9,6.9,83.5,43.8,7.7,2.9,1.5,5.3,12.9,159000,57926,11.8,0.05697679779619406
MI_04_2016,MI,4,2016,50.0,11.1,11.3,41.4,2.7,12.3,21.9,31.4,8.3,85.7,11.5,3.1,3.2,0.7,5.9,15.0,119400,48434,13.2,0.019332015913807003
MI_05_2016,MI,5,2016,51.4,8.8,12.0,41.0,3.4,13.7,19.0,44.4,8.2,85.9,16.7,3.5,5.4,0.7,5.8,19.7,97400,42800,20.6,0.021741771286224412
MI_06_2016,MI,6,2016,50.8,10.8,12.1,38.8,3.0,12.1,28.0,40.3,7.8,84.5,42.0,7.8,2.9,0.9,6.5,15.0,149700,51477,12.0,0.048341552744024276
MI_07_2016,MI,7,2016,49.8,8.7,11.3,41.9,2.5,12.9,24.6,32.8,8.5,86.9,24.6,4.9,3.0,0.4,5.0,11.8,150000,56427,10.1,0.029162262156448203
MI_08_2016,MI,8,2016,50.9,12.9,11.8,38.1,2.5,12.1,40.6,29.3,6.1,83.2,17.8,9.9,3.8,1.5,4.4,11.5,203700,66495,8.4,0.09145684108472378
MI_09_2016,MI,9,2016,51.3,7.8,15.4,40.5,2.9,15.4,30.3,27.2,6.9,85.7,5.9,13.9,3.4,1.0,5.2,12.2,143700,56582,12.8,0.12963666085751913
MI_10_2016,MI,10,2016,50.4,8.0,10.9,43.6,2.4,12.5,23.0,26.9,8.3,88.1,8.2,7.5,3.4,0.5,4.8,9.7,174500,60934,10.8,0.06154193435328991
MI_11_2016,MI,11,2016,51.0,8.0,11.9,41.5,2.1,12.1,46.6,19.0,5.5,88.2,8.1,16.3,2.7,0.1,3.4,6.3,233000,79805,5.7,0.15727059210037925
MI_12_2016,MI,12,2016,51.3,14.2,14.2,35.3,2.4,14.2,34.0,31.4,5.5,81.1,11.0,17.5,3.3,2.8,3.9,16.8,145600,55506,12.9,0.13566346629840803
MI_13_2016,MI,13,2016,52.4,9.8,14.2,36.3,2.6,17.8,14.7,63.2,5.8,85.0,32.7,13.9,6.5,4.9,7.4,29.6,68500,33995,31.7,0.08066988818782869
MI_14_2016,MI,14,2016,52.1,9.0,13.7,37.7,2.2,16.6,30.8,61.2,5.2,85.2,16.2,14.2,6.9,3.7,6.4,22.9,113400,42695,23.6,0.10621582275386389
MN_01_2016,MN,1,2016,50.2,10.5,12.6,38.3,2.8,12.4,28.0,30.0,8.0,85.2,42.3,9.8,2.7,1.9,4.8,10.6,163500,60424,8.3,0.0642862682593673
MN_02_2016,MN,2,2016,50.6,8.5,12.1,37.7,2.4,10.0,38.5,24.7,7.2,87.1,34.8,11.3,2.6,2.6,3.7,5.8,246900,80128,4.7,0.08957437042454042
MN_03_2016,MN,3,2016,51.2,6.4,12.9,40.1,2.2,11.2,49.0,16.0,6.7,87.1,18.5,15.0,1.9,3.4,3.1,5.6,285100,84689,4.9,0.14046437504719095
MN_04_2016,MN,4,2016,51.1,9.8,15.2,36.0,2.8,13.9,42.2,32.6,5.6,83.5,17.1,20.6,2.9,5.5,4.0,11.7,235700,66175,10.5,0.16655840002392389
MN_05_2016,MN,5,2016,49.8,11.0,20.4,34.0,3.5,18.4,44.5,30.0,5.1,79.7,28.5,20.0,3.7,10.6,5.4,15.3,221100,59115,12.9,0.17506430574685938
MN_06_2016,MN,6,2016,49.6,9.4,12.2,37.1,2.7,10.5,29.5,25.6,7.8,87.1,21.8,6.3,2.2,1.9,2.8,6.7,222700,77049,5.9,0.04544486025622942
MN_07_2016,MN,7,2016,49.7,9.1,11.2,40.2,2.5,14.5,21.8,24.0,8.7,87.9,41.3,5.6,2.6,1.0,5.1,11.1,152000,52620,8.1,0.028709357026816856
MN_08_2016,MN,8,2016,49.2,8.8,10.9,43.4,3.1,15.0,23.0,34.5,9.9,87.3,15.9,3.0,2.7,1.1,4.3,12.5,169000,53676,9.7,0.018672342755374008
MS_01_2016,MS,1,2016,52.1,10.5,12.1,37.9,2.1,12.0,20.7,51.3,7.1,86.8,49.5,3.9,3.1,0.1,10.5,17.7,116100,43194,12.5,0.01810878861756125
MS_02_2016,MS,2,2016,51.9,10.2,13.1,36.2,1.9,14.9,19.3,58.2,6.1,88.4,57.7,2.4,6.0,0.6,13.1,27.3,87900,34392,22.4,0.011293243250987066
MS_03_2016,MS,3,2016,51.5,10.5,12.5,37.1,1.2,12.4,25.9,50.1,6.4,87.1,47.6,4.2,3.5,0.2,10.9,19.3,128600,45115,13.6,0.02246413906527398
MS_04_2016,MS,4,2016,51.7,10.1,13.0,37.5,1.8,13.4,21.1,42.3,11.6,84.3,43.3,4.8,5.0,0.4,12.9,19.7,122800,45192,15.0,0.027838853344545646
MO_01_2016,MO,1,2016,52.9,10.3,17.2,35.5,3.0,17.1,31.8,58.2,7.0,82.1,24.8,7.8,5.0,7.4,10.2,18.5,109800,45172,16.5,0.062233867380012825
MO_02_2016,MO,2,2016,51.3,7.3,11.3,43.2,2.0,11.5,49.2,15.5,8.1,87.7,13.0,10.3,2.1,0.7,4.4,5.0,233900,79724,4.0,0.08761318971979398
MO_03_2016,MO,3,2016,50.1,8.8,12.5,38.7,2.0,10.3,26.4,30.8,9.3,86.7,32.7,3.0,2.4,0.3,6.1,9.7,172200,61929,8.2,0.018777096725968008
MO_04_2016,MO,4,2016,49.7,12.5,12.8,36.6,2.2,13.2,23.9,35.4,10.3,81.8,24.9,6.0,2.6,0.1,9.5,15.2,141800,48065,11.3,0.0358170318524682
MO_05_2016,MO,5,2016,51.9,8.6,15.3,37.1,3.2,15.1,28.2,48.2,8.2,85.3,48.5,9.6,3.7,2.0,11.1,16.3,126500,48693,13.0,0.06092528372170601
MO_06_2016,MO,6,2016,50.0,9.1,12.1,38.7,2.1,12.7,28.6,30.0,9.4,83.9,25.4,5.1,2.5,0.2,7.8,11.8,157200,58532,7.9,0.03214264111886984
MO_07_2016,MO,7,2016,50.9,10.9,12.5,37.7,2.9,10.9,23.2,32.8,9.6,82.5,55.7,5.5,3.0,0.3,11.0,16.2,134500,44619,12.5,0.03414222308631634
MO_08_2016,MO,8,2016,50.1,8.9,11.5,40.8,2.6,11.6,15.0,39.4,9.9,84.6,21.7,2.8,3.3,0.4,11.3,19.9,113600,40639,18.2,0.014322706382466216
MT_01_2016,MT,1,2016,49.5,9.7,12.2,40.1,2.4,14.9,31.0,24.3,10.5,83.6,10.3,3.7,3.0,0.7,8.1,13.3,217200,50027,10.6,0.021450539717252238
NE_01_2016,NE,1,2016,49.7,12.1,13.4,35.4,2.6,12.7,32.5,23.5,8.3,81.6,46.4,11.0,2.5,0.5,7.7,11.6,155900,58537,8.7,0.07499865424987888
NE_02_2016,NE,2,2016,50.5,8.7,15.3,34.8,2.0,14.5,39.2,31.1,8.4,83.5,47.4,13.9,2.7,1.0,8.9,10.9,168000,62621,9.4,0.09395212464073625
NE_03_2016,NE,3,2016,50.3,9.0,11.2,39.8,2.3,14.6,22.2,28.8,8.6,85.7,78.2,9.5,2.4,0.2,9.1,11.8,112800,50985,8.8,0.057078762840631604
NV_01_2016,NV,1,2016,49.0,10.3,15.3,36.0,2.6,17.6,15.2,55.9,6.4,80.4,66.5,51.4,4.8,7.8,18.3,21.0,165900,38000,22.6,0.49101774158590583
NV_02_2016,NV,2,2016,49.5,9.0,13.5,39.5,2.7,14.2,25.5,38.5,10.5,82.5,62.4,20.4,3.7,2.8,9.1,12.3,269900,58214,11.1,0.14278875557562193
