California 9,D+8,Jerry McNerney,Democratic,2006,Incumbent re-elected.,√ Jerry McNerney (Democratic)[69]
,,,,,,Marla Livengood (Republican)[69]
California 10,EVEN,Jeff Denham,Republican,2010,Incumbent lost re-election.,√ Josh Harder (Democratic)[69]
,,,,,New member elected.,Jeff Denham (Republican)[69]
,,,,,Democratic gain.,
California 11,D+21,Mark DeSaulnier,Democratic,2014,Incumbent re-elected.,√ Mark DeSaulnier (Democratic)[69]
,,,,,,John Fitzgerald (Republican)[69]
California 12,D+37,Nancy Pelosi,Democratic,1987,Incumbent re-elected.,√ Nancy Pelosi (Democratic)[69]
,,,,,,Lisa Remmer (Republican)[69]
California 13,D+40,Barbara Lee,Democratic,1998 (Special),Incumbent re-elected.,√ Barbara Lee (Democratic)[69]
,,,,,,Laura Wells (Green)[70]
California 14,D+27,Jackie Speier,Democratic,2008 (Special),Incumbent re-elected.,√ Jackie Speier (Democratic)[69]
,,,,,,Cristina Osmeña (Republican)[69]
California 15,D+20,Eric Swalwell,Democratic,2012,Incumbent re-elected.,√ Eric Swalwell (Democratic)[69]
,,,,,,Rudy Peters (Republican)[69]
California 16,D+9,Jim Costa,Democratic,2004,Incumbent re-elected.,√ Jim Costa (Democratic)[69]
,,,,,,Elizabeth Heng (Republican)[69]
California 17,D+25,Ro Khanna,Democratic,2016,Incumbent re-elected.,√ Ro Khanna (Democratic)[69]
,,,,,,Ron Cohen (Republican)[69]
California 18,D+23,Anna Eshoo,Democratic,1992,Incumbent re-elected.,√ Anna Eshoo (Democratic)[69]
,,,,,,Christine Russell (Republican)[69]
California 19,D+24,Zoe Lofgren,Democratic,1994,Incumbent re-elected.,√ Zoe Lofgren (Democratic)[69]
,,,,,,Justin Aguilera (Republican)[71]
California 20,D+23,Jimmy Panetta,Democratic,2016,Incumbent re-elected.,√ Jimmy Panetta (Democratic)[69]
,,,,,,Ronald Kabat (No party preference)[69]
California 21,D+5,David Valadao,Republican,2012,Incumbent lost re-election.,√ TJ Cox (Democratic)[69]
,,,,,New member elected.,David Valadao (Republican)[69]
,,,,,Democratic gain.,
